host_animal_common,sample_id,gene,gene_type,gene_identifier,gene_name_family,resistance_class
chicken,NY14853PPY10134,dfrA1,chromosome,dfrA1,dfr,folate pathway antagonist
chicken,NY14853PPY10134,aadA1,chromosome,aadA1,ANT(3''),aminoglycoside
chicken,NY14853PPY10134,aac(3)-VIa,chromosome,AAC(3)-VIa,AAC(3),aminoglycoside
chicken,NY14853PPY10134,sul1,chromosome,sul1,sul,sulfonamide
chicken,NY14853PPY10134,IncFII(pHN7A8)_pHN7A8,plasmid,IncFII(pHN7A8)_pHN7A8,,MULTI-DRUG
chicken,NY14853PPY10134,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,NY14853PPY10134,IncFIA(HI1)_HI1,plasmid,IncFIA(HI1)_HI1,,MULTI-DRUG
chicken,NY14853PPY10134,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,NY14853PPY10134,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,NY14853PPY10134,ant(3'')-Ia,chromosome,ANT(3'')-Ia,	ANT(3''),aminoglycoside
chicken,NY14853PPY10134,dfrA10,chromosome,dfrA10,dfr,folate pathway antagonist
chicken,NY14853PPY10283,blaEC,chromosome,blaEC,ampC,beta-lactam
chicken,NY14853PPY10283,tet(34),chromosome,tet34,tet,tetracycline
chicken,NY14853PPY10283,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,NY14853PPY10283,Col440I,plasmid,Col440I,,colistin
chicken,NY14853PPY10283,IncFII(pRSB107)_pRSB107,plasmid,IncFII(pRSB107)_pRSB107,,MULTI-DRUG
chicken,NY14853PPY10283,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,OH43068PPY10094,blaTEM-1,chromosome,blaTEM-1,TEM,beta-lactam
chicken,OH43068PPY10094,aac(3)-IId,chromosome,AAC(3)-IId,AAC(3),aminoglycoside
chicken,OH43068PPY10094,aac(3)-IId,chromosome,AAC(3)-Iid,AAC(3),aminoglycoside
chicken,OH43068PPY10094,blaEC-8,chromosome,blaEC-8,ampC,beta-lactam
chicken,OH43068PPY10094,tet(34),chromosome,tet34,tet,tetracycline
chicken,OH43068PPY10094,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,OH43068PPY10094,ColpVC,plasmid,ColpVC,,colistin
chicken,OH43068PPY10094,IncFII(pCoo)_pCoo,plasmid,IncFII(pCoo)_pCoo,,MULTI-DRUG
chicken,OH43068PPY10094,IncI2_Delta,plasmid,IncI2_Delta,,MULTI-DRUG
chicken,OH43068PPY10094,blaTEM-1B,chromosome,blaTEM-1B,TEM,beta-lactam
chicken,OH43068PPY10094,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,PA19348PPY10032,blaEC-18,chromosome,blaEC-18,ampC,beta-lactam
chicken,PA19348PPY10032,dfrA17,chromosome,dfrA17,dfr,folate pathway antagonist
chicken,PA19348PPY10032,aadA5,chromosome,aadA5,ANT(3''),aminoglycoside
chicken,PA19348PPY10032,aac(3)-IId,chromosome,AAC(3)-IId,AAC(3),aminoglycoside
chicken,PA19348PPY10032,aac(3)-IId,chromosome,AAC(3)-Iid,AAC(3),aminoglycoside
chicken,PA19348PPY10032,aph(6)-Id,chromosome,APH(6)-Id,APH(6),aminoglycoside
chicken,PA19348PPY10032,aph(3'')-Ib,chromosome,APH(3'')-Ib,APH(3''),aminoglycoside
chicken,PA19348PPY10032,sul2,chromosome,sul2,sul,sulfonamide
chicken,PA19348PPY10032,blaCTX-M-1,chromosome,CTX-M-1,CTX-M,beta-lactam
chicken,PA19348PPY10032,mph(A),chromosome,mph(A),MPH,macrolide
chicken,PA19348PPY10032,aph(3')-Ia,chromosome,APH(3')-Ia,APH(3'),aminoglycoside
chicken,PA19348PPY10032,tet(34),chromosome,tet34,tet,tetracycline
chicken,PA19348PPY10032,IncX1,plasmid,IncX1,,MULTI-DRUG
chicken,PA19348PPY10032,IncX3,plasmid,IncX3,,MULTI-DRUG
chicken,PA19348PPY10032,IncQ1,plasmid,IncQ1,,MULTI-DRUG
chicken,PA19348PPY10032,IncFII(pSE11)_pSE11,plasmid,IncFII(pSE11)_pSE11,,MULTI-DRUG
chicken,PA19348PPY10032,ant(3'')-Ia,chromosome,ANT(3'')-Ia,	ANT(3''),aminoglycoside
chicken,PA19348PPY10032,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,SD57007PPY10083,aph(3'')-Ib,chromosome,APH(3'')-Ib,APH(3''),aminoglycoside
chicken,SD57007PPY10083,aph(6)-Id,chromosome,APH(6)-Id,APH(6),aminoglycoside
chicken,SD57007PPY10083,blaEC,chromosome,blaEC,ampC,beta-lactam
chicken,SD57007PPY10083,sul1,chromosome,sul1,sul,sulfonamide
chicken,SD57007PPY10083,aac(3)-VIa,chromosome,AAC(3)-VIa,AAC(3),aminoglycoside
chicken,SD57007PPY10083,aadA1,chromosome,aadA1,ANT(3''),aminoglycoside
chicken,SD57007PPY10083,ColRNAI,plasmid,ColRNAI,,colistin
chicken,SD57007PPY10083,Col(MG828),plasmid,Col(MG828),,colistin
chicken,SD57007PPY10083,IncFIC(FII),plasmid,IncFIC(FII),,MULTI-DRUG
chicken,SD57007PPY10083,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
chicken,SD57007PPY10083,IncI1_Alpha,plasmid,IncI1_Alpha,,MULTI-DRUG
chicken,SD57007PPY10083,Col156,plasmid,Col156,,colistin
chicken,SD57007PPY10083,mdf(A),chromosome,mdf(A),MFS,MULTI-DRUG
chicken,SD57007PPY10083,ant(3'')-Ia,chromosome,ANT(3'')-Ia,	ANT(3''),aminoglycoside
chicken,TX77840PPY10776,tet(A),chromosome,tet(A),MFS,tetracycline
chicken,TX77840PPY10776,blaCMY-2,chromosome,CMY-2,CMY,beta-lactam
chicken,TX77840PPY10776,blaEC,chromosome,blaEC,ampC,beta-lactam
chicken,TX77840PPY10776,aadA1,chromosome,aadA1,ANT(3''),aminoglycoside
chicken,TX77840PPY10776,aac(3)-VIa,chromosome,AAC(3)-VIa,AAC(3),aminoglycoside
chicken,TX77840PPY10776,sul1,chromosome,sul1,sul,sulfonamide
chicken,TX77840PPY10776,IncFIB(pHCM2)_pHCM2,plasmid,IncFIB(pHCM2)_pHCM2,,MULTI-DRUG
chicken,TX77840PPY10776,Col156,plasmid,Col156,,colistin
chicken,TX77840PPY10776,IncB/O/K/Z,plasmid,IncB/O/K/Z,,MULTI-DRUG
chicken,TX77840PPY10776,IncFIB(AP001918),plasmid,IncFIB(AP001918),,MULTI-DRUG
