final_diagnosis,animal_infection_site_uti
"extraintestinal pathogenic e. coli pneumonia; severe, subacute and necrohemorrhagi
septicemia/endotoxemia",Not UTI/urine/urinary tract
placentitis,Not UTI/urine/urinary tract
sepsis,Not UTI/urine/urinary tract
non-healing abscess on pastern; mixed growth,Not UTI/urine/urinary tract
mare with purulent material vaginal floor; fetal death,Not UTI/urine/urinary tract
polysynovitis,Not UTI/urine/urinary tract
19 day old foal w/ acute diarrhea,Not UTI/urine/urinary tract
chronic draining tract,Not UTI/urine/urinary tract
febrile post partum fluid,Not UTI/urine/urinary tract
peritonitis,Not UTI/urine/urinary tract
typhlocolitis,Not UTI/urine/urinary tract
endometritis,Not UTI/urine/urinary tract
wound infection,Not UTI/urine/urinary tract
dermatitis,Not UTI/urine/urinary tract
"cecal impaction, septic peritonitis, nephrolithiasis",Not UTI/urine/urinary tract
metritis,Not UTI/urine/urinary tract
pleuritis and epicarditis,Not UTI/urine/urinary tract
tracheitis and bronchopneumonia,Not UTI/urine/urinary tract
suppurative bronchopneumonia,Not UTI/urine/urinary tract
enterotoxigenic e. coli enterocolitis,Not UTI/urine/urinary tract
prrs,Not UTI/urine/urinary tract
pulm hemo ---->lung-hemorrhage,Not UTI/urine/urinary tract
e. coli abortion,Not UTI/urine/urinary tract
enteric cryptitis,Not UTI/urine/urinary tract
"interstitial pneumonia, intravascular thrombosis, interstitial (urinary bladder) cystitis",Not UTI/urine/urinary tract
pasteurella aerogenes,Not UTI/urine/urinary tract
e. coli septicemia,Not UTI/urine/urinary tract
reoviral arthritis/tenosynovitis,Not UTI/urine/urinary tract
ornithobacterium rhinotracheale,Not UTI/urine/urinary tract
severe multifocal subacute encephalitis,Not UTI/urine/urinary tract
pneumoniae,Not UTI/urine/urinary tract
fibrinous pericarditis and peritonitis,Not UTI/urine/urinary tract
cholecystitis,Not UTI/urine/urinary tract
wound,Not UTI/urine/urinary tract
spay/ hernia repair infection,Not UTI/urine/urinary tract
cystitis,Not UTI/urine/urinary tract
moderate to marked subacute bacterial endometritis (pyometra),Not UTI/urine/urinary tract
aerobic culture /otitis,Not UTI/urine/urinary tract
cellulitis,Not UTI/urine/urinary tract
cerebral abscess,Not UTI/urine/urinary tract
bacterial septicemia due to cnf1 expressing e.coli,Not UTI/urine/urinary tract
percutaneous endoscopic gastrostomy site infection,Not UTI/urine/urinary tract
presence of e. coli in urine,Not UTI/urine/urinary tract
soft tissue infection,Not UTI/urine/urinary tract
peritoneal effusion w/ serositis,Not UTI/urine/urinary tract
respiratory infection,Not UTI/urine/urinary tract
chronic kidney disease,Not UTI/urine/urinary tract
"virulent systemic calicivirus infection (vasculitis, interstitial pneumonia, hepatocellular necrosis)",Not UTI/urine/urinary tract
e. coli bacteremia,Not UTI/urine/urinary tract
"salpingitis, peritonitis salpingoperitonitis",Not UTI/urine/urinary tract
pnuemonia,Not UTI/urine/urinary tract
tracheitis and air sacculitis,Not UTI/urine/urinary tract
e. coli septicemia (colibacillosis),Not UTI/urine/urinary tract
"chronic salpingitis, e. coli, bacterial septicemia.",Not UTI/urine/urinary tract
mild diffuse peritonitis,Not UTI/urine/urinary tract
acute necrotizing enteritis.,Not UTI/urine/urinary tract
mycoplasma,Not UTI/urine/urinary tract
colibacillosis polyserositis,Not UTI/urine/urinary tract
died,Not UTI/urine/urinary tract
mycotic encephalitis,Not UTI/urine/urinary tract
undetermined,Not UTI/urine/urinary tract
fibrinonecrotic enteritis,Not UTI/urine/urinary tract
salpingitis,Not UTI/urine/urinary tract
colisepticemia,Not UTI/urine/urinary tract
polyserositis,Not UTI/urine/urinary tract
bacterial salpingitis,Not UTI/urine/urinary tract
fibrinopurulent pericarditis (e. coli isolated),Not UTI/urine/urinary tract
ibv,Not UTI/urine/urinary tract
bacterial serositis,Not UTI/urine/urinary tract
suspected enteritis,Not UTI/urine/urinary tract
suspected upper respiratory tract infection,Not UTI/urine/urinary tract
salpingitis/ oophorits/ peritonitis,Not UTI/urine/urinary tract
marek’s disease/enterotyphilits/aspergillois,Not UTI/urine/urinary tract
"salpingoperitonitis, impacted oviduct",Not UTI/urine/urinary tract
"infectious coryza, infectious bronchitis, colibacillosis",Not UTI/urine/urinary tract
"infectious bronchitis, colibacillosis",Not UTI/urine/urinary tract
"infectious coryza, colibacillosis",Not UTI/urine/urinary tract
arthritis,Not UTI/urine/urinary tract
sinusitis/enteritis,Not UTI/urine/urinary tract
sinusitis,Not UTI/urine/urinary tract
septcemia,Not UTI/urine/urinary tract
interstitial pneumonia with e. coli,Not UTI/urine/urinary tract
unknown,Not UTI/urine/urinary tract
mastitis screen,Not UTI/urine/urinary tract
necrotizing bronchopneumonia/pneumonia and peribronchiolar lymphoplasmacytic cuffing with fibrinous pleuritis,Not UTI/urine/urinary tract
necrotizing and lymphoplasmacytic?enteritis,Not UTI/urine/urinary tract
bacterial enterocolitis (etiology: e.coli ),Not UTI/urine/urinary tract
moderate to marked subacute necrohemorrhagic enteritis,Not UTI/urine/urinary tract
scour,Not UTI/urine/urinary tract
suspect septicemic colibacillosis,Not UTI/urine/urinary tract
right umbilical artery rupture and hemoperitoneum,Not UTI/urine/urinary tract
enteric and septicemic e. coli,Not UTI/urine/urinary tract
purulent hepatitis - non hemolytic escherichia coli,Not UTI/urine/urinary tract
necrotizing enteritis,Not UTI/urine/urinary tract
"died; meconium aspiration; fetal
distress",Not UTI/urine/urinary tract
dead,Not UTI/urine/urinary tract
abortion,Not UTI/urine/urinary tract
hypoxemia,Not UTI/urine/urinary tract
enterohemorrhagic e. coli,Not UTI/urine/urinary tract
enterotoxigenic e. coli,Not UTI/urine/urinary tract
acute bacterial enteritis,Not UTI/urine/urinary tract
intestinil colibacillosis,Not UTI/urine/urinary tract
"calves at 10-14 days get scours. calf submitted was lethargic, could not stand, and 10% dehydrated on presentation.",Not UTI/urine/urinary tract
"several calves age 6 days, severe diarrhea, then death",Not UTI/urine/urinary tract
"diarrhea in 24 hour calf, suspect e. coli",Not UTI/urine/urinary tract
"80% of herd had fever of 104, ruminating and had appetite, fed hay and grain mix. have lost 5 animals.",Not UTI/urine/urinary tract
enteric rotavirus and coronavirus detected,Not UTI/urine/urinary tract
enteric coronavirus detected,Not UTI/urine/urinary tract
clinical symptoms,Not UTI/urine/urinary tract
e. coli infection,Not UTI/urine/urinary tract
suspected enteritis /cryptosporidiosis,Not UTI/urine/urinary tract
suspected enteritis / cryptosporidiosis,Not UTI/urine/urinary tract
peritonitis/ pleuritis/ pneumonia / polyarthritis,Not UTI/urine/urinary tract
pneumonia/enteritis/septicemia,Not UTI/urine/urinary tract
enterotoxigenic colibacillosis/cryptosporidiosi/rotaviral enteritis,Not UTI/urine/urinary tract
enteritis/septicemia,Not UTI/urine/urinary tract
gti,Not UTI/urine/urinary tract
rotaviral enteric disease/e. coli systemic infection,Not UTI/urine/urinary tract
bacteremia,Not UTI/urine/urinary tract
"k99+ escherichia coli pcr (+)
segmental enteric villus atrophy with weak rotavirus pcr (+)
serous atrophy of fat",Not UTI/urine/urinary tract
chronic bronchitis and pleuritis,Not UTI/urine/urinary tract
enteric k99+ escherichia coli (enterotoxigenic colibacillosis),Not UTI/urine/urinary tract
pneuomonia,Not UTI/urine/urinary tract
pyometra,Not UTI/urine/urinary tract
infected wound,Not UTI/urine/urinary tract
ear infection,Not UTI/urine/urinary tract
incision site infection,Not UTI/urine/urinary tract
no history given,Not UTI/urine/urinary tract
bacterial pneumonia and enteritis,Not UTI/urine/urinary tract
aerobic culture /urinary tract infection,UTI/urine/urinary tract
aerobic culture/otitis,Not UTI/urine/urinary tract
bacterial pneumonia,Not UTI/urine/urinary tract
bronchia infection,Not UTI/urine/urinary tract
ear canal ablation surgery history,Not UTI/urine/urinary tract
neonatal diarrhea,Not UTI/urine/urinary tract
otitis,Not UTI/urine/urinary tract
"bronchopneumonia, pleuritis",Not UTI/urine/urinary tract
gastroenteritis,Not UTI/urine/urinary tract
requested urine culture,Not UTI/urine/urinary tract
urinary infection,UTI/urine/urinary tract
open,Not UTI/urine/urinary tract
"aspiration pneumonia, pulmonary edema",Not UTI/urine/urinary tract
kidney failure,Not UTI/urine/urinary tract
septic arthritis,Not UTI/urine/urinary tract
draining wound,Not UTI/urine/urinary tract
infection at wound suture site,Not UTI/urine/urinary tract
post treatment,Not UTI/urine/urinary tract
no history - heavy bacterial growth,Not UTI/urine/urinary tract
 peritonitis,Not UTI/urine/urinary tract
collibacillosis,Not UTI/urine/urinary tract
acute typhlocolitis (e. coli);,Not UTI/urine/urinary tract
subacute marked fibrinosuppurative peritonitis,Not UTI/urine/urinary tract
necrotizing omphalitis (e. coli),Not UTI/urine/urinary tract
"bacterial septicemia,  ulcerative and suppurative bacterial enterocolitis",Not UTI/urine/urinary tract
necrosuppurative myositis and cellulitis,Not UTI/urine/urinary tract
patent urachus,Not UTI/urine/urinary tract
reproductive culture,Not UTI/urine/urinary tract
uterinei infection,Not UTI/urine/urinary tract
laceration on right hip,Not UTI/urine/urinary tract
joint infection,Not UTI/urine/urinary tract
soft tissue infection (wound),Not UTI/urine/urinary tract
3 month old foal with persistant diarrhea,Not UTI/urine/urinary tract
ulecerative and necrotizing enteritis,Not UTI/urine/urinary tract
uterine immflamation,Not UTI/urine/urinary tract
bacteremia/sepsis,Not UTI/urine/urinary tract
bacterial abortion,Not UTI/urine/urinary tract
necrotizing wound,Not UTI/urine/urinary tract
"enterocolitis, severe,?neutrophilic to histiocytic with phlebitis",Not UTI/urine/urinary tract
"subacute necrotizing enteritis
",Not UTI/urine/urinary tract
acute pneumonia,Not UTI/urine/urinary tract
mild interstitial pneumonia,Not UTI/urine/urinary tract
enterocolitis due to enterotoxic e. coli,Not UTI/urine/urinary tract
"hematopoiesis 
in liver and spleen",Not UTI/urine/urinary tract
gastritis,Not UTI/urine/urinary tract
proliferative enteritis,Not UTI/urine/urinary tract
rotavirus positive,Not UTI/urine/urinary tract
suscept e. coli or salmonella,Not UTI/urine/urinary tract
"meningitis, synovitits/arthrits, nephritis",Not UTI/urine/urinary tract
septic joint,Not UTI/urine/urinary tract
"pneumonia, nephritis, and severe lymphoid depletion",Not UTI/urine/urinary tract
pasturellosis with colibacillosis,Not UTI/urine/urinary tract
heterophilic tenosynovitis,Not UTI/urine/urinary tract
multiorgan infection with e. coli and salmonella,Not UTI/urine/urinary tract
NA,Not UTI/urine/urinary tract
coccidiosis,Not UTI/urine/urinary tract
"typhlitis and hepatisis associated with histomoniasis, secondary e. coli infection",Not UTI/urine/urinary tract
pericarditis and epicarditis,Not UTI/urine/urinary tract
higher than normal mortality,Not UTI/urine/urinary tract
ckd,Not UTI/urine/urinary tract
pyuria,UTI/urine/urinary tract
inappetence,Not UTI/urine/urinary tract
 urinary tract infection,UTI/urine/urinary tract
septic peritonitis,Not UTI/urine/urinary tract
hemmorhagic pnuemonia,Not UTI/urine/urinary tract
uti treated in january sucessfully. signed returned this weekend acutely with blood in urine,UTI/urine/urinary tract
feline infectious peritonitis,Not UTI/urine/urinary tract
systemic bacterial septicemia,Not UTI/urine/urinary tract
coelomitis and pericarditis,Not UTI/urine/urinary tract
salpingitis and coelomitis,Not UTI/urine/urinary tract
systemic bacterial infection,Not UTI/urine/urinary tract
airsacculitis,Not UTI/urine/urinary tract
yolk peritonitis,Not UTI/urine/urinary tract
acute bacterial infection,Not UTI/urine/urinary tract
pericarditis; e. coli recovered,Not UTI/urine/urinary tract
fecal float positive; ibv positive,Not UTI/urine/urinary tract
positive coccidia; e. coli recovered,Not UTI/urine/urinary tract
bacterial polyserositis / septicemia- e. coli,Not UTI/urine/urinary tract
"enterotyphlitis, hepatitis, myocarditis",Not UTI/urine/urinary tract
e. coli infection/ infectious bronchitis,Not UTI/urine/urinary tract
general health,Not UTI/urine/urinary tract
"diarrhea, death",Not UTI/urine/urinary tract
death,Not UTI/urine/urinary tract
enteric,Not UTI/urine/urinary tract
supprative omphalophlebitis,Not UTI/urine/urinary tract
fibrinosuppurative and necrotizing bronchopneumonia,Not UTI/urine/urinary tract
diffuse necrotizing interstitial pneumonia,Not UTI/urine/urinary tract
rumenitis,Not UTI/urine/urinary tract
atrophic enteritis,Not UTI/urine/urinary tract
septic infarcts in kidney,Not UTI/urine/urinary tract
hepatitis,Not UTI/urine/urinary tract
1 week old cross bred calf died of scours,Not UTI/urine/urinary tract
scours in herd,Not UTI/urine/urinary tract
veterinarian requested calf scour panel,Not UTI/urine/urinary tract
diarrhea at 24 hours of age. suspect e. coli,Not UTI/urine/urinary tract
client is having calf scours,Not UTI/urine/urinary tract
"e. coli, cryptosporidium detected",Not UTI/urine/urinary tract
moderate mucosa-associated lymphoid depletion,Not UTI/urine/urinary tract
"enterotypholocolitis, cryptpsporidiosis, septicemia",Not UTI/urine/urinary tract
"cryptosporidiosis, bovine coronavirus, rota virus enteritis",Not UTI/urine/urinary tract
enterotoxigenic colibacillosis probable,Not UTI/urine/urinary tract
"cryptosporidiosis, suspected entertitis",Not UTI/urine/urinary tract
hepatic lipidosis and mild metritis,Not UTI/urine/urinary tract
embolic necrosuppurative interstitial nephritis,Not UTI/urine/urinary tract
bacterial septicemia due to e. coli,Not UTI/urine/urinary tract
fibrinosuppurative necrotizing bronchopneumonia,Not UTI/urine/urinary tract
meconium aspiration,Not UTI/urine/urinary tract
erosive viral enteritis (coronavirus and rotavirus),Not UTI/urine/urinary tract
otitis interna,Not UTI/urine/urinary tract
pyoderma,Not UTI/urine/urinary tract
septic prostate,Not UTI/urine/urinary tract
systemic infection,Not UTI/urine/urinary tract
rhinitis,Not UTI/urine/urinary tract
"septicemia, e coli",Not UTI/urine/urinary tract
"aerobic culture, urinary tract infection",UTI/urine/urinary tract
recurrent uti,UTI/urine/urinary tract
pulmonary edema,Not UTI/urine/urinary tract
hemmorhagic enteritis,Not UTI/urine/urinary tract
request aerobic culture,Not UTI/urine/urinary tract
bacterial infection/diarrhea,Not UTI/urine/urinary tract
uterine culture,Not UTI/urine/urinary tract
chronic uterine infection,Not UTI/urine/urinary tract
endometriosis,Not UTI/urine/urinary tract
strility,Not UTI/urine/urinary tract
no history - prebreeding,Not UTI/urine/urinary tract
jejunocecostomy,Not UTI/urine/urinary tract
inflammatory airway disease,Not UTI/urine/urinary tract
endometrial inflammation,Not UTI/urine/urinary tract
"severe, suppurative colitis",Not UTI/urine/urinary tract
"peritonitis, bronchopneumonia",Not UTI/urine/urinary tract
"massive peritonitis;septicemia,",Not UTI/urine/urinary tract
chronic weight loss,Not UTI/urine/urinary tract
colic,Not UTI/urine/urinary tract
reproductive tract infection,Not UTI/urine/urinary tract
reproductive tract infections,Not UTI/urine/urinary tract
injury,Not UTI/urine/urinary tract
uterine infection,Not UTI/urine/urinary tract
four day old foal with 3-day history of diarrhea,Not UTI/urine/urinary tract
breeding management,Not UTI/urine/urinary tract
patent urachus/sepsis/entercolitis,Not UTI/urine/urinary tract
uterine infection/pre-breeding,Not UTI/urine/urinary tract
"bronchopneumonia, supprative",Not UTI/urine/urinary tract
colitis,Not UTI/urine/urinary tract
enteritis and polyserositis,Not UTI/urine/urinary tract
multiple bacterial pathogens recovered,Not UTI/urine/urinary tract
e. coli recovered,Not UTI/urine/urinary tract
"bronchopneumonia, enteritis",Not UTI/urine/urinary tract
fibrinosuppurative necrotizing polyserositis,Not UTI/urine/urinary tract
severe enteritis,Not UTI/urine/urinary tract
mortality,Not UTI/urine/urinary tract
necrotizing hepatitis,Not UTI/urine/urinary tract
reoviral hepatitis and  bacterial sepsis,Not UTI/urine/urinary tract
heterophilic osteomyelitis,Not UTI/urine/urinary tract
pneumonia and pleuritis,Not UTI/urine/urinary tract
"pneumonia, epicarditis, airsacculitis",Not UTI/urine/urinary tract
enteritis and typhilitis,Not UTI/urine/urinary tract
intestinal coccidiosis,Not UTI/urine/urinary tract
fibrinoheterophilic pleuropneumonia,Not UTI/urine/urinary tract
feline panleukopenia virus,Not UTI/urine/urinary tract
"infected egg yolk peritonitis, with colibacillosis",Not UTI/urine/urinary tract
"conjunctivitis, omphalitis, cellulitis, sinusitis",Not UTI/urine/urinary tract
bacterial septicemia/polyserositis - e. coli,Not UTI/urine/urinary tract
positive fecal float: e. coli recovered,Not UTI/urine/urinary tract
endocarditis,Not UTI/urine/urinary tract
ovarian cancer,Not UTI/urine/urinary tract
ovarian adenocarcinoma with coelomic carcinomatosis,Not UTI/urine/urinary tract
umbilical abscess,Not UTI/urine/urinary tract
"sepsis (possible colibacillosis)
multiple antibiotic resistant e coli",Not UTI/urine/urinary tract
impa with history of resistent e. coli due to steroid immunosuppression,Not UTI/urine/urinary tract
cycstitis,Not UTI/urine/urinary tract
unable to breed,Not UTI/urine/urinary tract
breeding,Not UTI/urine/urinary tract
strangles,Not UTI/urine/urinary tract
"endometrium, grade iia",Not UTI/urine/urinary tract
"endometrium, grade iib",Not UTI/urine/urinary tract
salmonellosis,Not UTI/urine/urinary tract
porcine circovirus-2; pyelonephritis; septicemia,Not UTI/urine/urinary tract
viral pneumonia,Not UTI/urine/urinary tract
"pneumonia, splenitis",Not UTI/urine/urinary tract
